Training Loss,Training Accuracy,Validation Loss,Validation Accuracy
0.7259941510359443,0.37999999999999956,0.7125249248329956,0.4455445544554458
0.6894992281993231,0.5133333333333328,0.6875312558495174,0.5544554455445547
0.6558963615695635,0.6200000000000001,0.6914888244159149,0.5544554455445547
0.65712876945734,0.5733333333333331,0.6627734181019339,0.5544554455445547
0.628742456138134,0.7933333333333346,0.6212072651280035,0.8415841584158421
0.5510021315018335,0.7400000000000009,0.5661382204530264,0.7623762376237628
0.4912019486725328,0.8666666666666684,0.502446215562891,0.8613861386138619
0.44082479203740715,0.9066666666666686,0.45578408558474903,0.9108910891089115
0.35919695806999985,0.9400000000000022,0.4098695562322541,0.9108910891089115
0.31936178838213275,0.9333333333333355,0.388108507241353,0.8910891089108917
0.3598039033015569,0.8933333333333352,0.35901524635529747,0.9108910891089115
0.37535380496333076,0.8533333333333349,0.3339704520963501,0.8910891089108917
0.2693370137239496,0.9466666666666689,0.33468261125064136,0.9009900990099016
0.30358973867570366,0.9133333333333353,0.3114905952761816,0.9009900990099016
0.3500748532079161,0.8933333333333352,0.30744903554937036,0.9009900990099016
0.3098603902012109,0.8866666666666685,0.281935588963846,0.9108910891089115
0.285828195375701,0.920000000000002,0.2791294323667735,0.9009900990099016
0.4052470324809351,0.8666666666666684,0.2780790420451965,0.9009900990099016
0.2579254614654927,0.9266666666666687,0.2588361772100007,0.9009900990099016
0.23098611609699818,0.9266666666666687,0.2859224688704356,0.9108910891089115
0.31151797965789835,0.8933333333333352,0.25477829362072124,0.9009900990099016
0.2316894633167733,0.9266666666666687,0.24652396947938465,0.9108910891089115
0.2594896296815326,0.9333333333333355,0.2517746511989706,0.9207920792079214
0.21401977567002178,0.9333333333333355,0.25344863900509057,0.9009900990099016
0.21907644154193504,0.9466666666666689,0.23397183794030313,0.9108910891089115
0.3472901776696866,0.8666666666666684,0.2418746965623802,0.9108910891089115
